N,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41
11,0.01287251373912,0.021402266758595,0.032582577426956,0.045330504147026,0.056759526906809,0.065080433833172,0.070714936048438,0.073512485130255,0.074098233517928,0.072938654966874,0.07136193856561,0.068956905576068,0.065441121799335,0.060853205977689,0.05627688501766,0.053168722989572,0.052600112823653,0.053997224356521,0.056714949052384,0.060538666484656,0.065254587730768,0.07254235091184,0.091041606162035,0.116024052064273,0.148212588974916,0.182261246573762,0.208316609830265,0.222178659548275,0.22788323907459,0.230636626053993,0.232503491163694,0.23613499258326,0.246051509530017,0.239605875142894,0.232578280330858,0.234146912665259,0.240965245632172,0.251608912844729,0.250777824576384,0.250054739441349,0.251754980384305
12,0.007514054802981,0.015510148427082,0.026573392018477,0.039253082825692,0.050565820490465,0.058750669781014,0.064243248306597,0.067026606741576,0.067718338631401,0.066812088100159,0.06542092733263,0.063141063570989,0.059690499917401,0.055145368754551,0.050614554786768,0.047406027503277,0.046754216260423,0.047876859829093,0.050114928547751,0.053330275442263,0.05738794399979,0.064297246864038,0.083801972476511,0.110223777702643,0.143233646221242,0.178390495788487,0.206089721836931,0.221832175727157,0.229933634335571,0.234595735785701,0.237561748129899,0.241278715301737,0.248843777604694,0.243405476801916,0.237446054027138,0.239186370902792,0.245360192676688,0.254398929052452,0.252413504987703,0.252262436645318,0.253097220843521
13,0.019015492435026,0.029833942315985,0.041195567443268,0.053210595509609,0.063382641700442,0.07062543934646,0.075643355977735,0.078189028916503,0.078757267341631,0.077826618703929,0.076897520798027,0.075547001047851,0.073364073615018,0.070127067675624,0.066680503385025,0.06453705674556,0.064279383796918,0.065716618792823,0.068453576594571,0.072293481910382,0.077043163852114,0.084616141636291,0.104179210043016,0.129208901422615,0.156803167904261,0.183983556642277,0.204009790916835,0.214076052051979,0.218838097936433,0.223005249573485,0.226122681517681,0.229453024746702,0.235805869986823,0.233081695244498,0.230131868069596,0.232987813103158,0.240546918124486,0.248180542095502,0.247587030933219,0.249015674036724,0.253680023817845
14,0.023637118284852,0.033440779042467,0.044182942249874,0.055852334040115,0.065870996835504,0.07300913964873,0.07789297881485,0.080191062645307,0.080471875881448,0.079152974370722,0.077915432599875,0.076356115876273,0.074119521595182,0.071047486798072,0.067936651108848,0.066276574199311,0.066230022523665,0.067967607268536,0.071133543982516,0.075386751215685,0.080389952448221,0.087384541355517,0.103445714993616,0.124510465659817,0.150437118426016,0.177816784745294,0.199046086894633,0.210031812602774,0.213496365867798,0.217242671857877,0.221129619338254,0.226358063037718,0.23595644546781,0.232686460356699,0.229177563214974,0.234147083769974,0.242820727262852,0.252235298687086,0.252960067409136,0.254508063291334,0.259679714885998
15,0.025272192255344,0.035249081556444,0.045089750898004,0.054692822219131,0.062377409982829,0.067853955977914,0.071915131557992,0.074111527076954,0.074652847666257,0.073933903610339,0.073396457033393,0.07263775592565,0.071163331034761,0.068490504633493,0.065257496045253,0.063019333830555,0.062778636600235,0.06463281155252,0.068093345729063,0.072872666350011,0.078680416189129,0.087079492894535,0.105972591125682,0.129472882766195,0.154591615707007,0.178609790162056,0.197254225224973,0.208716725627645,0.213386024297625,0.21991133807576,0.225444565714158,0.230538601414041,0.239580304131912,0.235867983364675,0.232145832291079,0.237240545943125,0.244099073209205,0.255415813896907,0.253638126476115,0.25289049051617,0.248918199307132
16,0.022394530666268,0.031782127915713,0.040670202526011,0.049034556287727,0.055466770800505,0.05985022652869,0.062975099995453,0.064491119537621,0.064683534887182,0.063917005831837,0.063668311574131,0.063749924596279,0.06374365991048,0.063317764540154,0.063016853093667,0.063570658202627,0.065401564259605,0.068692142107904,0.073485659385162,0.079535762485512,0.086593791572596,0.096236760821753,0.115795522944508,0.138263474351494,0.158467705639717,0.177285548191935,0.19230530450338,0.201225907289945,0.205096622580373,0.212039477828525,0.219316185755638,0.226061806665153,0.235525716048761,0.234571590632932,0.233475614831497,0.239665468615069,0.249344855653106,0.261058682193908,0.259728537944697,0.259845398429806,0.263007997696769
17,0.022797264694642,0.033543995607524,0.045024599371048,0.057244449062826,0.067561493679693,0.074883943040249,0.079964891540644,0.08251460876364,0.083014400929464,0.081861300094589,0.080608573445639,0.078781151370333,0.075998153027639,0.072127874050829,0.068083353842855,0.065311965185718,0.06495040183801,0.066818090012809,0.070278192082555,0.075032214396283,0.080777249703562,0.088880042639591,0.106699918508306,0.129613855745402,0.156672514691433,0.183533105365694,0.20390979859568,0.214921505389655,0.217252621508575,0.220775889222879,0.224874140206983,0.229416949398353,0.235668813044519,0.232176024752627,0.228551915885265,0.232167837205789,0.238471096897931,0.248224320174086,0.247647801739253,0.246060281182847,0.246076816189549
18,0.048040983669745,0.05778814771255,0.067533511531131,0.077145758769584,0.084572533799957,0.089604210512597,0.093195107771201,0.094635887225237,0.094332699462159,0.092566729504527,0.091473193300832,0.090758054227801,0.089935351757378,0.08870079798946,0.087675470281368,0.0878416409785,0.08943273915525,0.092535775649118,0.097103394561763,0.102826707420064,0.109398675981351,0.117583095378936,0.131663349122966,0.147689745265726,0.163425155165148,0.177736237659693,0.189319580404871,0.197494398606594,0.200585783649233,0.204638788464923,0.208197931768462,0.211814032166204,0.218111766570684,0.218353996741284,0.218264535598591,0.220987324731342,0.229095984692829,0.239574789864053,0.241292303786319,0.242862799396949,0.248602714323094
19,0.002833833567741,0.009722247524661,0.020778247125192,0.03367519551428,0.045267275748346,0.053716007750018,0.059414256045288,0.062434724178514,0.063380178844083,0.062860792869927,0.061768141300032,0.059692016912341,0.056250880393416,0.051412669356759,0.046244545929294,0.041996819748882,0.040979618164538,0.042109794144425,0.044434548607202,0.047866828624756,0.052321216790131,0.059883588900194,0.080459154837206,0.108388147341473,0.14379227387435,0.181305636383669,0.210382672165014,0.22588105582279,0.230722939067332,0.235813452386961,0.23956092510489,0.242576671827979,0.246812548194708,0.243263683291506,0.239495689411862,0.241784493268027,0.247837371924832,0.256684121887092,0.254785960716853,0.253360557738289,0.249829405837829
20,0.01980873503177,0.031190730084953,0.042549656097624,0.053823004690254,0.062771770894849,0.068837025948088,0.072941491832906,0.074882105500262,0.075139749423501,0.074121540638863,0.07346177400774,0.072814532835039,0.071744834903281,0.069902680852128,0.067892067312704,0.067172249828703,0.067772639444902,0.070723574029092,0.075744419892577,0.082256270958605,0.089677208698398,0.09871408912474,0.114908198826059,0.134862562130749,0.157976155222185,0.181077777780572,0.199412195008521,0.210402056010535,0.213784207247172,0.218793994240722,0.222912491809974,0.22684033287603,0.23548642692711,0.232800905221382,0.229885248035912,0.233658344197918,0.241256580594425,0.249565042193483,0.248464308078357,0.249747057715869,0.25270627654313
21,0.033976079512498,0.04377192273364,0.053470227492464,0.063148442782349,0.070937763178178,0.076453610188577,0.080489926898246,0.082501328161717,0.082778490111024,0.081635390238102,0.080788784261973,0.07979146181751,0.0781593666961,0.07550073910299,0.072506135594943,0.070909795486125,0.071004243260914,0.073514184543184,0.078040405527085,0.084073760893471,0.091105165924916,0.099932411915102,0.116100464999088,0.135855260960682,0.15769233189291,0.179974340625907,0.197991867187524,0.208192954085285,0.211665280922595,0.216092569604704,0.22016488373383,0.224709012524885,0.232694318871094,0.229762468440233,0.226709626682863,0.229760286778448,0.236307665902137,0.247526588925315,0.247522740716333,0.247421808557905,0.250201094168085
22,0.055770301794172,0.062043176395262,0.068600289853878,0.075276869365953,0.080538519716029,0.084329811029455,0.087325794105681,0.088670784681042,0.088508847670682,0.087014252490147,0.085995773883141,0.084941485137007,0.083405803922079,0.081108217481861,0.078668115920736,0.077527104646146,0.078065344886447,0.081614835324903,0.087481202195648,0.09468085374913,0.102229769569307,0.110084126751115,0.122384909541166,0.137757747222328,0.156509499053086,0.176783808309295,0.193815882077677,0.203294621463595,0.207731253691248,0.212025074028884,0.215793777915696,0.220269913409163,0.228723810139408,0.224938256362086,0.220919442065258,0.223459159123899,0.231228541417558,0.240595959413337,0.242717001208172,0.244224720178184,0.250078128131179
23,0.041039702957896,0.050494666385369,0.059945653904949,0.069355355596969,0.076835914972081,0.082091556290313,0.085980503125801,0.087864224670941,0.088031435453285,0.086766619634389,0.085929070781298,0.085042856815597,0.083634303974556,0.081315140996983,0.078724916522902,0.077575847334585,0.077886318030127,0.08064200388708,0.085467897272982,0.091759819224425,0.098914831261264,0.107495031337768,0.122393935081282,0.140351266212347,0.160111210367537,0.179543094410666,0.194995380918349,0.204352537011656,0.208036422421658,0.212204986907439,0.216069887451991,0.220624178617912,0.228932267558224,0.226090606668995,0.223074260290583,0.226093914624362,0.232932189934819,0.242841392887243,0.24454142748773,0.245368320907668,0.246189679863819
24,0.018725970547361,0.028440049029122,0.038448673201835,0.048441497085281,0.056532963344809,0.062175553214622,0.066118112813729,0.068106018290793,0.068516691054456,0.067761949305126,0.067243133836677,0.066619915177531,0.065488931145627,0.063504125085647,0.061293971190052,0.060327862671304,0.060599061666175,0.062693627518117,0.066467437332713,0.071633020175398,0.077904117926991,0.086861130096609,0.106400630249952,0.130382740521763,0.155411207263353,0.179620888865644,0.198578978801161,0.209838689417792,0.214927763823539,0.220706121637369,0.225609332086011,0.230566580197729,0.239152908821935,0.237070808016962,0.234850075676102,0.238748502271074,0.245753959735735,0.25552908325833,0.254918127510256,0.254692611228061,0.256810287950871
25,0.038655743419151,0.047623963940821,0.056830334902149,0.066425386566649,0.074381307125608,0.080063000189863,0.08415827985964,0.086052049072393,0.086122539204326,0.084673808540202,0.083596328759263,0.082510027005555,0.081020398360875,0.07886398274524,0.07667724695135,0.075949348547669,0.076388177455271,0.078568532307693,0.08233675660835,0.087323184003149,0.093158662039318,0.10074894180457,0.115626813453848,0.134229142140821,0.155720538434379,0.177208551544206,0.193887261916386,0.2036360985528,0.208581071240605,0.212708897994385,0.216248821630806,0.220681434696229,0.228435177908375,0.227147812260728,0.225600626667495,0.228839832377774,0.236882216834893,0.246160962233017,0.24790441530781,0.249830774429677,0.257241103080482
26,0.011857527243345,0.023994255102872,0.036523551850688,0.049468561671008,0.060200699280895,0.067713060330499,0.07285465701586,0.075528089669734,0.076220738933789,0.075404869680077,0.074397788881557,0.072724173222517,0.06994334214329,0.065853585403051,0.061413107518027,0.058075580876938,0.057518297152833,0.059255404925875,0.062514705988805,0.067051348400363,0.072622979908815,0.080909009571283,0.100302806659362,0.125052614978049,0.15287545337769,0.18075457890387,0.20258748480869,0.214912748074826,0.218550737397139,0.223468067819702,0.227737478716698,0.231759185085561,0.238765873647779,0.235847059706626,0.232837345291003,0.236588408804302,0.242932562009245,0.253398820877726,0.253658141610135,0.25313011895756,0.252645561494654
27,0.000899698673434,0.001058519765995,0.001236567448422,0.001442439428776,0.001627498834281,0.001764171785693,0.001860527329411,0.001904489720133,0.001909581566654,0.001884289279839,0.00186389406946,0.001834483786552,0.001785986035267,0.001721433664079,0.001668845740999,0.001644026467249,0.00336865992559,0.015526626025798,0.035677344299601,0.059483535362015,0.082607224220604,0.101511274825838,0.119260561418552,0.138961611213575,0.165158438129483,0.190254814062423,0.209198347346413,0.220949828278222,0.226501053957417,0.231786056754056,0.23518913533618,0.238566977280086,0.247414380588773,0.244147974958061,0.240600961282766,0.243623292172072,0.24979586224825,0.260868458134965,0.260681451028605,0.258910907478687,0.2596431873515
28,0.025186483030783,0.034768391634813,0.044229386912928,0.053687889132776,0.061416771864457,0.066915292292002,0.070857340149035,0.072787288932084,0.073056458803609,0.072079340805691,0.071524112603417,0.071166519584673,0.070551337352156,0.069291538715334,0.067871219294656,0.067566583658762,0.068476710768428,0.071112355883307,0.075349227985638,0.080820807299659,0.087159890469116,0.095517305358224,0.11221677468067,0.132213353770906,0.152443395704595,0.172667767941259,0.189491287017761,0.199948058020174,0.205037274575257,0.210331364224965,0.215548933070145,0.222204674850039,0.233404698900745,0.232836080562944,0.231873961125241,0.23552729675079,0.245243227341942,0.258410998155863,0.261495031863119,0.263430127605169,0.269550505227685
29,0.019061506775087,0.028814813489171,0.038211084824882,0.047100495873479,0.054002788548805,0.058762923554807,0.062178865952999,0.063958992260294,0.064364376748248,0.063807229019097,0.063668269692295,0.063699719818911,0.063468211942432,0.062584878351467,0.061493515277156,0.061344017973901,0.062139880900214,0.064310431044955,0.067911115636559,0.072772808343093,0.078725864123938,0.087731875424946,0.108726882475496,0.134288382389611,0.159786272238609,0.183156419059648,0.200861038514357,0.211715973274634,0.216731149151164,0.223466472230671,0.228091306171126,0.23183840311433,0.239474559377823,0.237289894896744,0.235039299811692,0.237145557379887,0.244213236224519,0.254576981160076,0.252958337056716,0.252724208336352,0.250913833122554
30,0.037279043332169,0.048583257764534,0.059768489421702,0.070896845865984,0.079762445149612,0.08590828621647,0.090267684078304,0.092290689032659,0.092409841965563,0.090999574906794,0.090110926292603,0.089318884715407,0.088100130153579,0.086010933851992,0.083645188740406,0.082794995767538,0.083315040253344,0.086191301019257,0.091105668235841,0.09745378427448,0.104632184834505,0.113413215738765,0.129284718209008,0.147437525029746,0.164531440452474,0.181143469254735,0.194871622733785,0.202913275870535,0.205791408371203,0.209204771932846,0.212249999299791,0.216060978878516,0.224721112733396,0.222197206035044,0.219449371796954,0.222652803290093,0.229828694023971,0.238425869528013,0.240000338772075,0.241189656050943,0.24689576706874
31,0.032193110093252,0.042142997608152,0.052135282943175,0.061910352049074,0.069565820544856,0.074779832832554,0.07841704308625,0.080011752875326,0.080001637413676,0.078779796124859,0.078184145471602,0.077970510793494,0.077641782489528,0.076845177784729,0.07609155169211,0.076334322771718,0.077727981710577,0.080588092192705,0.084891664532535,0.090311906399621,0.096519024704559,0.104406035633523,0.119005647553913,0.136201254768749,0.153708892515928,0.172522683198788,0.188931413975772,0.198242285030531,0.203271799041621,0.208684442212634,0.212833475466103,0.217603956220003,0.228877614029632,0.228362209478845,0.227376363362311,0.231021511107446,0.240886022190043,0.251882303393365,0.253955392239627,0.257718585970242,0.265677518315533
32,0.029353998531878,0.039892226559932,0.050871548243074,0.062367323347267,0.071942740395358,0.078681396702317,0.083346988028987,0.085534892053915,0.085760702785283,0.08441867587681,0.083338501326904,0.082118296192633,0.080340063539765,0.077736740819214,0.075050538470096,0.073807720034705,0.074021337845991,0.07570573335621,0.078672158013973,0.082712311625124,0.087613596931157,0.094737377630102,0.110872531968456,0.131159832157472,0.153778236040738,0.176990816496407,0.195818027934052,0.207034601282382,0.212379612195415,0.216168763535471,0.21893924205907,0.223057817094531,0.233008314146698,0.229596230202979,0.225718881617227,0.227940249030747,0.236435169249106,0.246876874469294,0.249196966936157,0.250599851018427,0.25678198377931
35,0.040415923036493,0.049445794347135,0.058462172507695,0.067543463660541,0.074901351336165,0.08009942329935,0.083863611024504,0.085498834942542,0.085413171673508,0.083946028643924,0.08299662142978,0.082231705692027,0.081101089119081,0.079194507012504,0.077141469525578,0.076481253338866,0.077414651112777,0.0811870441319,0.087356622900985,0.095063509080079,0.103443302300557,0.113291733737521,0.130964660567131,0.150326346299428,0.16737847882135,0.182834298752633,0.194946187881854,0.201445984148214,0.20342721619592,0.208549325370941,0.214576095556996,0.21921613459436,0.222498142777938,0.224602928318827,0.226253687593445,0.224800767073406,0.233135522346989,0.243434989676421,0.245707783169817,0.245685537706168,0.247720341206497
36,0.030169770234055,0.040236748045134,0.050514485345968,0.061029046644772,0.069654359387943,0.075726125326955,0.080009882318148,0.082008977071943,0.082174215448757,0.080910719037951,0.079982349386934,0.079092362681505,0.077756995122848,0.075615993602098,0.073325049777431,0.072490128934431,0.07326231548379,0.076273112893746,0.081238177366527,0.087648374017072,0.094994323223153,0.104372651437653,0.122195064523643,0.142601331032893,0.162650974701243,0.180748798678432,0.195283779777437,0.206109565172781,0.210140223144441,0.214964890062793,0.218351114285928,0.22135175510348,0.228547435689423,0.226964067802199,0.224963096730128,0.228541398839319,0.236050057471495,0.245920348179885,0.249433713360938,0.249391700147381,0.253972160163245
37,0.00560188288154,0.013536611138738,0.024002809737128,0.035236068885333,0.04492377388711,0.051828752810811,0.056465764054911,0.058812794159816,0.059447347635065,0.058981693203677,0.058641763530959,0.05820207568043,0.057268053891296,0.055444347280942,0.053091930079411,0.051240822912837,0.051091728231393,0.053243815199395,0.057194068513891,0.062569848361496,0.069001925464822,0.07796179108071,0.097375840906828,0.121703620465611,0.149225018177509,0.177269468091322,0.199914148137303,0.213092885533267,0.217461162043514,0.223684188792873,0.229281808504421,0.233857313832365,0.239480861368682,0.240329891050614,0.241021415979391,0.243960949200989,0.252790671863851,0.264518342462844,0.264987911259406,0.260783728037757,0.254453075624147
38,0.005034331856464,0.01007796624655,0.017018039675063,0.024557129822194,0.031046720393117,0.035680481062772,0.038813288155009,0.040414192856046,0.040828590061233,0.040393287711807,0.039866927869807,0.039069388950148,0.037778611297211,0.035882172258784,0.033823552235829,0.032270540249101,0.032084234012541,0.033635482606907,0.036604575329954,0.040811952837639,0.046077467988468,0.054056665090302,0.073371152749558,0.100017008046924,0.136444579673941,0.178490753826862,0.213173512602215,0.231788623516658,0.238963764814015,0.24380913256717,0.247204761790653,0.250504682254751,0.256333102915382,0.249232024097249,0.241673868867474,0.243141036869483,0.250642865769302,0.260934815845579,0.255608195315929,0.253898726980748,0.24613103473677
